path,volume,title,words,em_dash,negative_parallelism,lampshading,empty_opener,hedge_stack,restatement_closer,tapestry_diction,significance_announcer,intensifier,preanswer_flattery,surely,lexical_hits,total_leads,leads_per_1000_words
book/02-conditionalism/11-measure-and-credence.md,Volume 2,Measure and Credence,1635,8,3,0,0,0,0,3,0,3,0,0,9,17,10.40
book/02-conditionalism/12-in-defense-of-bayes.md,Volume 2,In Defense of Bayes,1647,24,6,0,0,0,0,1,0,3,0,0,10,34,20.64
book/02-conditionalism/13-varieties-of-uncertainty.md,Volume 2,The Varieties of Uncertainty,1482,20,7,0,0,0,0,1,0,3,0,0,11,31,20.92
book/02-conditionalism/14-probability-without-collapse.md,Volume 2,Probability Without Collapse,1385,15,4,0,0,0,0,1,0,3,0,0,8,23,16.61
book/02-conditionalism/15-youre-not-a-random-sample.md,Volume 2,You're Not a Random Sample,1557,19,7,0,0,0,0,0,0,6,0,0,13,32,20.55
book/02-conditionalism/16-youre-not-a-random-branch.md,Volume 2,You're Not a Random Branch,2199,31,8,0,0,0,0,1,1,3,0,0,13,44,20.01
book/02-conditionalism/17-rationality-without-foundations.md,Volume 2,Rationality Without Foundations,1926,32,8,0,0,0,0,4,0,1,0,0,13,45,23.36
book/02-conditionalism/18-sacred-coherence.md,Volume 2,Sacred Coherence,1854,25,7,0,0,0,0,0,0,5,0,0,12,37,19.96
book/02-conditionalism/19-the-discipline-of-updating.md,Volume 2,The Discipline of Updating,2018,26,6,0,0,0,0,0,0,2,0,0,8,34,16.85
book/02-conditionalism/20-reasonable-disagreement.md,Volume 2,Reasonable Disagreement,1747,25,3,0,0,0,0,0,0,6,0,0,9,34,19.46
book/02-conditionalism/21-bayes-in-the-wild.md,Volume 2,Bayes in the Wild,2645,18,8,0,0,0,0,0,1,2,0,0,11,29,10.96
book/02-conditionalism/22-probability-after-probabilism.md,Volume 2,Probability After Probabilism,2399,28,4,0,0,0,0,2,0,6,0,0,12,40,16.67
book/02-conditionalism/23-deciding-under-uncertainty.md,Volume 2,Deciding Under Uncertainty,1716,10,5,0,0,0,0,7,1,1,0,0,14,24,13.99
book/02-conditionalism/24-fallibilist-bayesianism.md,Volume 2,Fallibilist Bayesianism,2512,26,6,0,0,0,0,0,0,1,0,0,7,33,13.14
