period,offset,aa_ppm_mean,aaa_ppm_mean,lapse_count_mean,max_single_lapse_epochs,renewal_success_rate_ppm_mean,sem_pass_rate_ppm_mean,max_consecutive_sem_fail,failure_class_counts,satisfy_epochs_count,violate_epochs_count,max_consecutive_violate_epochs
1,0,999833,1000000,0.00,0,750000,1000000,0,STABLE_AUTHORITY:5,6000,0,0
2,0,999833,1000000,0.00,0,750000,500000,1,STABLE_AUTHORITY:5,3000,3000,1
3,0,999833,1000000,0.00,0,750000,333333,2,STABLE_AUTHORITY:5,2000,4000,2
3,1,999833,1000000,0.00,0,750000,333333,2,STABLE_AUTHORITY:5,2000,4000,2
4,0,996732,1000000,5.80,10,750091,249907,6,STABLE_AUTHORITY:5,1500,4500,3
5,0,817633,813040,298.40,11,750091,199241,16,BOUNDED_DEGRADATION:5,1200,4800,4
5,2,815733,811520,291.60,10,750040,199495,20,BOUNDED_DEGRADATION:5,1200,4800,4
