period,offset,n_seeds,aa_mean_ppm,aa_std_ppm,aa_min_ppm,aa_max_ppm,aaa_mean_ppm,aaa_std_ppm,aaa_min_ppm,aaa_max_ppm,renewal_success_rate_mean_ppm,renewal_success_rate_std_ppm,sem_pass_rate_mean_ppm,max_consecutive_sem_fail_mean,max_consecutive_sem_fail_max,global_semfail_ge_k_fraction_mean,lapse_count_mean,lapse_count_total,max_single_lapse_mean,max_single_lapse_max,failure_count,failure_class_counts
1,0,5,999833,0,999833,999833,1000000,0,1000000,1000000,750000,0,1000000,0,0,0.0,0,0,0,0,0,{'STABLE_AUTHORITY': 5}
2,0,5,999833,0,999833,999833,1000000,0,1000000,1000000,750000,0,500000,1,1,0.0,0,0,0,0,0,{'STABLE_AUTHORITY': 5}
3,0,5,999833,0,999833,999833,1000000,0,1000000,1000000,750000,0,333333,2,2,0.0,0,0,0,0,0,{'STABLE_AUTHORITY': 5}
3,1,5,999833,0,999833,999833,1000000,0,1000000,1000000,750000,0,333333,2,2,0.0,0,0,0,0,0,{'STABLE_AUTHORITY': 5}
4,0,5,996732,846,996166,998166,1000000,0,1000000,1000000,750091,18,249907,5.6,6,0.2503427773725499,5.8,29,10,10,0,{'STABLE_AUTHORITY': 5}
5,0,5,817633,2056,814333,820000,813040,3707,809200,818800,750091,66,199241,15.6,16,0.4056582908830076,298.4,1492,10.6,11,0,{'BOUNDED_DEGRADATION': 5}
5,2,5,815733,5460,808833,822666,811520,5922,801800,817800,750040,42,199495,17.6,20,0.4050651199960488,291.6,1458,10,10,0,{'BOUNDED_DEGRADATION': 5}
